DATE,CLOSE,VOLUME,OPEN,HIGH,LOW
09/13/2019,$218.75,"39,763,300",$220,$220.79,$217.02
09/12/2019,$223.085,"32,226,670",$224.8,$226.42,$222.86
09/11/2019,$223.59,"44,289,650",$218.07,$223.71,$217.73
09/10/2019,$216.7,"31,777,930",$213.86,$216.78,$211.71
09/09/2019,$214.17,"27,309,400",$214.84,$216.44,$211.07
09/06/2019,$213.26,"19,362,290",$214.05,$214.42,$212.51
09/05/2019,$213.28,"23,946,880",$212,$213.97,$211.51
09/04/2019,$209.19,"19,216,820",$208.39,$209.48,$207.32
09/03/2019,$205.7,"20,059,570",$206.43,$206.98,$204.22
08/30/2019,$208.74,"21,162,560",$210.16,$210.45,$207.2
08/29/2019,$209.01,"21,007,650",$208.5,$209.32,$206.655
08/28/2019,$205.53,"15,957,630",$204.1,$205.72,$203.32
08/27/2019,$204.16,"25,897,340",$207.86,$208.55,$203.53
08/26/2019,$206.49,"26,066,130",$205.86,$207.19,$205.0573
08/23/2019,$202.64,"46,882,840",$209.43,$212.051,$201
08/22/2019,$212.46,"22,267,820",$213.19,$214.435,$210.75
08/21/2019,$212.64,"21,564,750",$212.99,$213.65,$211.6032
08/20/2019,$210.36,"26,919,530",$210.88,$213.35,$210.32
08/19/2019,$210.35,"24,431,920",$210.62,$212.7307,$210.025
08/16/2019,$206.5,"28,813,620",$204.28,$207.16,$203.84
08/15/2019,$201.74,"27,883,360",$203.46,$205.14,$199.67
08/14/2019,$202.75,"36,547,440",$203.16,$206.44,$202.5869
08/13/2019,$208.97,"47,539,790",$201.02,$212.14,$200.83
